citycode;population;PCT_working_high;Student_per1000;women_per_100;Median_population_age;household_size;pct_unemployment;households_1_person;car_1000;car_killed_1000;pct_nationals;birth_1000;cities_name
AT001C;1766746.0;24.0;98.0;107.7;40.5;2.0;12.0;45.0;393.49;0.12;76.0;11.0;Wien
AT002C;269997.0;31.0;206.0;105.9;38.5;2.0;9.0;46.0;521.82;0.33;83.0;10.0;Graz
AT003C;193814.0;22.0;143.0;109.1;42.5;2.0;8.0;52.0;521.82;0.41;83.0;11.0;Linz
AT004C;146631.0;25.0;142.0;111.7;43.5;2.0;7.0;47.0;521.82;0.2;78.0;10.0;Salzburg
AT005C;124579.0;28.0;292.0;108.6;40.5;2.0;7.0;49.0;521.82;0.0;80.0;9.0;Innsbruck
AT006C;96640.0;19.0;136.0;113.5;44.5;2.0;10.0;46.0;521.82;0.31;88.0;9.0;Klagenfurt
BE001C;1226329.0;43.0;100.0;103.1;35.0;2.0;13.0;46.0;402.82;0.07;64.0;13.0;Bruxelles/Brussel
BE002C;530627.0;35.0;103.0;99.5;37.0;2.0;7.0;44.0;384.45;0.4;78.0;14.0;Antwerpen
BE003C;264019.0;35.0;335.0;100.4;37.0;2.0;5.0;41.0;414.38;0.45;84.0;13.0;Gent
BE004C;238412.0;35.0;33.0;104.9;40.0;2.0;13.0;42.0;427.55;0.29;84.0;11.0;Charleroi
BE005C;405980.0;35.0;121.0;104.0;39.0;2.0;12.0;46.0;429.76;0.32;83.0;11.0;Liège
BE006C;118802.0;35.0;36.0;104.6;46.0;2.0;3.0;38.0;481.27;0.59;93.0;8.0;Brugge
BE007C;112373.0;35.0;145.0;105.8;41.0;2.0;9.0;44.0;470.28;0.36;90.0;10.0;Namur
BE008C;100772.0;35.0;570.0;99.5;36.0;2.0;4.0;47.0;820.69;0.2;81.0;11.0;Leuven
BE009C;157333.0;35.0;115.0;106.2;40.0;2.0;10.0;42.0;519.06;0.64;85.0;10.0;Mons
BE010C;77303.0;35.0;193.0;102.7;42.0;2.0;3.0;37.0;558.15;0.91;91.0;10.0;Kortrijk
BE011C;71861.0;35.0;5.0;103.6;49.0;2.0;6.0;47.0;400.29;0.14;89.0;8.0;Oostende
BE012C;87210.0;35.0;79.0;104.0;38.0;2.0;5.0;35.0;398.31;0.34;89.0;11.0;Mechelen
BE013C;59681.0;35.0;4.0;104.8;40.0;2.0;5.0;35.0;472.85;0.67;73.0;11.0;Mouscron
BE014C;104550.0;35.0;7.0;105.0;41.0;2.0;5.0;36.0;460.24;0.19;84.0;10.0;La Louvière
BE015C;70490.0;35.0;10.0;104.2;38.0;2.0;5.0;42.0;420.81;0.28;87.0;13.0;Verviers
BG001C;1242568.0;49.0;79.0;108.9;40.4;2.0;2.0;35.0;654.93;0.28;98.0;10.0;Sofia
BG002C;347851.0;37.0;102.0;110.9;41.9;2.0;2.0;35.0;540.14;0.06;99.0;9.0;Plovdiv
BG003C;336216.0;40.0;73.0;107.2;42.3;2.0;2.0;34.0;554.88;0.36;97.0;9.0;Varna
BG004C;201779.0;34.0;30.0;111.0;43.3;2.0;2.0;35.0;574.09;0.25;98.0;8.0;Burgas
BG005C;95086.0;34.0;36.0;111.0;47.2;2.0;5.0;33.0;649.01;0.42;99.0;7.0;Pleven
BG006C;141231.0;31.0;45.0;106.5;44.8;2.0;2.0;34.0;593.12;0.42;99.0;7.0;Ruse
BG007C;40620.0;25.0;10.0;107.4;47.3;2.0;6.0;32.0;697.08;2.22;99.0;6.0;Vidin
BG008C;134726.0;33.0;37.0;109.5;43.9;2.0;2.0;35.0;613.44;0.59;98.0;8.0;Stara Zagora
BG009C;84985.0;26.0;14.0;110.0;43.9;2.0;5.0;33.0;710.59;1.53;99.0;9.0;Sliven
BG010C;82240.0;26.0;8.0;110.3;46.2;2.0;5.0;33.0;529.9;0.73;99.0;7.0;Dobrich
BG011C;75442.0;32.0;89.0;110.0;44.9;2.0;5.0;33.0;601.59;0.27;98.0;7.0;Shumen
BG012C;72241.0;24.0;1.0;109.0;46.4;2.0;5.0;33.0;898.36;0.14;99.0;7.0;Pernik
BG013C;67222.0;26.0;12.0;107.1;45.2;2.0;5.0;33.0;539.49;0.15;99.0;10.0;Yambol
BG014C;69219.0;27.0;14.0;111.2;45.2;2.0;5.0;33.0;665.01;0.43;99.0;7.0;Haskovo
BG015C;67650.0;27.0;0.0;108.3;44.4;2.0;5.0;33.0;860.77;0.74;99.0;7.0;Pazardzhik
BG016C;68679.0;34.0;136.0;110.8;41.2;2.0;6.0;35.0;578.87;0.0;98.0;9.0;Blagoevgrad
BG017C;68828.0;42.0;174.0;111.0;40.3;2.0;6.0;33.0;683.09;1.16;99.0;8.0;Veliko Tarnovo
BG018C;51674.0;30.0;17.0;109.0;47.0;2.0;6.0;35.0;656.92;0.58;99.0;8.0;Vratsa
CH001C;229648.0;58.0;132.0;106.6;41.5;2.0;5.0;44.0;406.26;0.09;77.0;11.0;Bern
CH002C;704537.0;61.0;108.0;99.6;39.5;2.0;6.0;42.0;414.32;0.11;67.0;12.0;Zürich
CH003C;419185.0;46.0;58.0;106.4;40.5;2.0;13.0;39.0;400.36;0.26;57.0;11.0;Genève
CH004C;346276.0;53.0;61.0;106.2;44.3;2.0;6.0;43.0;391.64;0.23;68.0;10.0;Basel
CH005C;258799.0;49.0;153.0;104.5;38.3;2.0;10.0;44.0;404.4;0.12;59.0;11.0;Lausanne
CH006C;165306.0;47.0;103.0;104.6;41.7;2.0;5.0;41.0;435.92;0.06;75.0;11.0;Luzern
CH007C;115129.0;50.0;120.0;102.3;39.2;2.0;6.0;39.0;397.63;0.26;75.0;12.0;Winterthur
CH008C;88138.0;45.0;33.0;107.0;46.6;2.0;8.0;45.0;604.72;0.11;62.0;7.0;Lugano
CH009C;76328.0;46.0;190.0;101.6;39.2;2.0;7.0;46.0;448.82;0.13;68.0;11.0;St. Gallen
CH010C;53031.0;28.0;39.0;105.2;41.6;2.0;11.0;43.0;391.71;0.0;70.0;11.0;Biel/Bienne
CY001C;241400.0;45.0;85.0;108.8;4.191.330.166.270.780;3.0;9.0;25.0;501.27;1.16;79.0;11.0;Lefkosia
CZ001C;1324277.0;39.0;95.0;104.6;40.3;2.0;7.0;38.0;540.67;0.13;87.0;11.0;Praha
CZ002C;381346.0;39.0;165.0;106.2;40.9;2.0;9.0;37.0;424.73;0.21;95.0;12.0;Brno
CZ003C;287968.0;23.0;72.0;106.0;40.7;2.0;13.0;37.0;378.48;0.31;95.0;11.0;Ostrava
CZ004C;174842.0;27.0;75.0;104.6;41.5;2.0;8.0;37.0;485.95;0.76;93.0;11.0;Plzeň
CZ005C;92716.0;17.0;82.0;105.5;39.6;2.0;13.0;37.0;401.03;0.54;94.0;10.0;Ústí nad Labem
CZ006C;100663.0;34.0;200.0;110.8;40.5;2.0;10.0;36.0;389.84;0.4;98.0;11.0;Olomouc
CZ007C;104802.0;24.0;56.0;106.2;39.7;2.0;9.0;35.0;416.65;0.58;94.0;11.0;Liberec
CZ008C;94463.0;28.0;142.0;108.5;41.1;2.0;8.0;37.0;504.17;1.17;96.0;11.0;České Budějovice
CZ009C;92939.0;31.0;103.0;108.0;42.7;2.0;7.0;35.0;467.43;0.54;96.0;10.0;Hradec Králové
CZ010C;91727.0;26.0;79.0;102.6;41.7;2.0;7.0;36.0;462.3;1.11;95.0;11.0;Pardubice
CZ011C;74935.0;29.0;116.0;108.5;42.0;2.0;8.0;34.0;404.44;0.8;97.0;10.0;Zlín
CZ012C;69337.0;19.0;0.0;107.5;40.6;2.0;10.0;35.0;468.83;0.87;94.0;11.0;Kladno
CZ013C;48479.0;19.0;0.0;108.4;44.0;2.0;11.0;39.0;430.88;0.62;85.0;9.0;Karlovy Vary
CZ014C;51216.0;21.0;45.0;103.7;40.6;2.0;8.0;34.0;430.24;1.97;95.0;10.0;Jihlava
CZ015C;71200.0;16.0;4.0;105.5;41.9;2.0;16.0;35.0;359.22;0.0;96.0;9.0;Havířov
CZ016C;66034.0;13.0;0.0;103.5;39.8;2.0;16.0;38.0;404.13;0.6;94.0;10.0;Most
CZ017C;52128.0;11.0;0.0;102.6;42.1;2.0;18.0;35.0;358.64;2.06;94.0;10.0;Karviná
CZ018C;67876.0;11.0;0.0;102.4;39.0;2.0;14.0;36.0;420.67;0.44;92.0;11.0;Chomutov-Jirkov
DE001C;3664088.0;43.0;56.0;103.3;41.3;2.0;6.0;55.0;287.5;0.14;81.0;11.0;Berlin
DE002C;1852478.0;37.0;64.0;104.3;40.9;2.0;5.0;54.0;345.07;0.08;83.0;11.0;Hamburg
DE003C;1488202.0;54.0;75.0;105.0;39.7;2.0;4.0;54.0;344.72;0.13;74.0;12.0;München
DE004C;1083498.0;40.0;96.0;105.2;40.5;2.0;6.0;51.0;362.41;0.16;81.0;11.0;Köln
DE005C;764104.0;42.0;95.0;102.6;39.3;2.0;5.0;53.0;317.9;0.18;70.0;11.0;Frankfurt am Main
DE006C;582415.0;32.0;57.0;105.7;44.7;2.0;7.0;50.0;433.02;0.12;84.0;10.0;Essen
DE007C;630305.0;48.0;82.0;100.3;39.8;2.0;4.0;52.0;354.93;0.11;75.0;11.0;Stuttgart
DE008C;597493.0;43.0;66.0;103.6;39.4;2.0;5.0;55.0;341.11;0.25;90.0;11.0;Leipzig
DE009C;556227.0;45.0;68.0;100.8;40.7;2.0;4.0;51.0;351.74;0.18;92.0;10.0;Dresden
DE010C;587696.0;29.0;90.0;103.3;43.8;2.0;7.0;49.0;448.42;0.15;82.0;10.0;Dortmund
DE011C;620523.0;47.0;100.0;106.9;42.4;2.0;5.0;54.0;368.63;0.19;79.0;11.0;Düsseldorf
DE012C;566573.0;33.0;61.0;102.5;43.5;1.0;6.0;29.0;369.39;0.18;81.0;10.0;Bremen
DE013C;534049.0;32.0;94.0;104.5;40.9;2.0;6.0;55.0;336.25;0.15;82.0;11.0;Hannover
DE014C;515543.0;30.0;52.0;104.7;42.3;2.0;5.0;50.0;400.35;0.15;77.0;11.0;Nürnberg
DE015C;364454.0;35.0;159.0;104.9;45.3;2.0;6.0;49.0;462.92;0.16;87.0;9.0;Bochum
DE016C;333509.0;31.0;115.0;107.4;42.4;2.0;5.0;47.0;452.86;0.21;85.0;11.0;Bielefeld
DE017C;237865.0;30.0;92.0;106.4;43.8;2.0;6.0;53.0;350.51;0.13;90.0;9.0;Halle an der Saale
DE018C;235775.0;32.0;72.0;102.8;45.2;2.0;6.0;53.0;410.93;0.08;90.0;9.0;Magdeburg
DE019C;278609.0;42.0;51.0;109.1;43.2;2.0;6.0;47.0;434.04;0.18;80.0;11.0;Wiesbaden
DE020C;116845.0;49.0;255.0;105.5;39.1;1.0;5.0;60.0;383.98;0.25;91.0;10.0;Göttingen
DE021C;170921.0;31.0;39.0;107.4;48.1;2.0;5.0;46.0;496.76;0.06;84.0;10.0;Mülheim a.d.Ruhr
DE022C;103487.0;24.0;0.0;106.7;47.6;2.0;5.0;41.0;551.11;0.38;87.0;9.0;Moers
DE023C;159174.0;46.0;279.0;96.4;37.9;2.0;5.0;52.0;377.55;0.19;80.0;11.0;Darmstadt
DE024C;110674.0;40.0;149.0;102.5;39.0;2.0;6.0;54.0;1258.37;0.0;85.0;9.0;Trier
DE025C;230940.0;54.0;141.0;109.5;37.4;2.0;5.0;54.0;332.4;0.13;83.0;11.0;Freiburg im Breisgau
DE026C;152270.0;45.0;206.0;105.7;38.2;2.0;3.0;56.0;411.25;0.13;83.0;11.0;Regensburg
DE027C;57015.0;33.0;91.0;105.8;50.2;2.0;6.0;48.0;437.08;0.0;89.0;7.0;Frankfurt (Oder)
DE028C;65098.0;48.0;73.0;107.1;44.2;2.0;5.0;48.0;403.72;0.15;91.0;8.0;Weimar
DE029C;95609.0;28.0;8.0;108.2;47.9;2.0;6.0;48.0;398.82;0.0;91.0;9.0;Schwerin
DE030C;213692.0;36.0;399.0;105.6;44.2;2.0;5.0;49.0;397.44;0.14;91.0;9.0;Erfurt
DE031C;295830.0;38.0;91.0;102.9;41.1;1.0;4.0;29.0;397.54;0.17;78.0;11.0;Augsburg
DE032C;330579.0;43.0;119.0;109.0;40.2;2.0;5.0;46.0;401.48;0.12;83.0;10.0;Bonn
DE033C;308436.0;46.0;122.0;95.5;40.0;2.0;4.0;56.0;371.43;0.13;81.0;10.0;Karlsruhe
DE034C;259665.0;21.0;32.0;103.0;45.5;2.0;6.0;46.0;478.0;0.15;83.0;10.0;Mönchengladbach
DE035C;217123.0;52.0;171.0;105.2;38.3;2.0;4.0;51.0;385.98;0.05;82.0;10.0;Mainz
DE036C;246601.0;40.0;147.0;105.4;39.8;2.0;5.0;56.0;385.5;0.2;88.0;10.0;Kiel
DE037C;179349.0;25.0;178.0;101.2;44.3;2.0;6.0;56.0;455.65;0.0;81.0;9.0;Saarbrücken
DE038C;182112.0;38.0;147.0;106.7;41.5;2.0;4.0;50.0;373.8;0.17;91.0;10.0;Potsdam
DE039C;113388.0;35.0;142.0;104.2;42.5;2.0;5.0;51.0;452.85;0.26;86.0;10.0;Koblenz
DE040C;209061.0;34.0;68.0;103.0;44.0;2.0;5.0;55.0;367.76;0.19;93.0;9.0;Rostock
DE041C;99662.0;33.0;165.0;98.2;42.0;2.0;7.0;70.0;437.2;0.2;83.0;10.0;Kaiserslautern
DE042C;91815.0;21.0;27.0;104.1;46.3;2.0;5.0;42.0;546.18;0.11;87.0;9.0;Iserlohn
DE043C;92722.0;37.0;55.0;99.8;43.3;2.0;5.0;46.0;468.28;0.21;76.0;10.0;Esslingen am Neckar
DE044C;97137.0;17.0;34.0;103.0;43.2;2.0;7.0;37.0;451.1;0.21;74.0;12.0;Hanau
DE045C;75189.0;25.0;52.0;103.7;48.6;2.0;8.0;53.0;491.91;0.26;90.0;9.0;Wilhelmshaven
DE046C;93358.0;45.0;110.0;102.5;42.0;2.0;4.0;45.0;473.88;0.11;78.0;12.0;Ludwigsburg
DE047C;91077.0;55.0;305.0;109.9;34.6;2.0;3.0;55.0;360.58;0.22;84.0;10.0;Tübingen
DE048C;85686.0;29.0;81.0;103.7;45.3;2.0;5.0;42.0;516.01;0.12;79.0;9.0;Villingen-Schwenningen
DE049C;89934.0;23.0;111.0;100.8;41.3;2.0;6.0;52.0;426.91;0.0;85.0;10.0;Flensburg
DE050C;76401.0;48.0;288.0;109.8;34.6;2.0;4.0;53.0;383.24;0.26;86.0;9.0;Marburg
DE051C;84446.0;44.0;191.0;108.9;39.6;2.0;4.0;54.0;384.32;0.12;84.0;9.0;Konstanz
DE052C;79905.0;23.0;34.0;102.0;46.2;2.0;5.0;40.0;460.04;0.12;87.0;9.0;Neumünster
DE053C;72040.0;32.0;38.0;103.0;50.8;2.0;5.0;50.0;432.44;0.14;94.0;8.0;Brandenburg an der Havel
DE054C;90131.0;37.0;431.0;102.5;34.4;2.0;6.0;57.0;344.24;0.22;80.0;11.0;Gießen
DE055C;75301.0;48.0;128.0;107.5;41.2;2.0;5.0;46.0;402.28;0.0;92.0;10.0;Lüneburg
DE056C;74048.0;39.0;173.0;104.6;41.9;2.0;4.0;49.0;430.42;0.13;87.0;8.0;Bayreuth
DE057C;69399.0;20.0;0.0;106.2;46.8;2.0;5.0;44.0;502.44;0.43;94.0;9.0;Celle
DE058C;70858.0;32.0;48.0;105.2;44.7;2.0;4.0;43.0;496.75;0.28;83.0;10.0;Aschaffenburg
DE059C;76674.0;37.0;159.0;106.9;40.2;2.0;3.0;54.0;429.58;0.26;85.0;10.0;Bamberg
DE060C;64014.0;21.0;0.0;105.3;49.9;2.0;5.0;47.0;478.58;0.15;98.0;9.0;Plauen
DE061C;63372.0;25.0;35.0;107.2;48.6;2.0;7.0;47.0;435.25;0.16;99.0;9.0;Neubrandenburg
DE062C;67980.0;25.0;137.0;103.6;42.5;2.0;4.0;38.0;468.25;0.15;83.0;11.0;Fulda
DE063C;68940.0;32.0;77.0;101.9;43.7;2.0;3.0;44.0;477.82;0.0;83.0;10.0;Kempten (Allgäu)
DE064C;73065.0;36.0;62.0;104.8;43.3;2.0;4.0;47.0;451.84;0.27;80.0;10.0;Landshut
DE065C;64595.0;36.0;34.0;100.9;43.5;2.0;4.0;40.0;497.43;0.15;75.0;11.0;Sindelfingen
DE066C;63591.0;32.0;86.0;102.0;42.5;2.0;4.0;49.0;464.67;0.31;78.0;11.0;Rosenheim
DE067C;48750.0;32.0;34.0;105.3;45.9;2.0;6.0;61.0;496.0;0.0;82.0;10.0;Frankenthal (Pfalz)
DE068C;59205.0;26.0;40.0;105.2;47.8;2.0;7.0;52.0;400.35;0.17;99.0;9.0;Stralsund
DE069C;61221.0;42.0;36.0;101.4;44.9;2.0;3.0;40.0;513.6;0.16;81.0;11.0;Friedrichshafen
DE070C;60388.0;30.0;69.0;103.7;45.0;2.0;4.0;45.0;37.62;0.17;86.0;10.0;Offenburg
DE071C;55784.0;28.0;26.0;106.9;50.0;2.0;8.0;60.0;405.27;0.18;96.0;9.0;Görlitz
DE072C;55590.0;32.0;114.0;105.2;46.1;2.0;4.0;37.0;526.21;0.72;89.0;9.0;Sankt Augustin
DE073C;58841.0;34.0;70.0;103.2;42.4;2.0;3.0;39.0;488.39;0.17;90.0;12.0;Neu-Ulm
DE074C;53319.0;27.0;60.0;103.6;44.9;2.0;5.0;41.0;440.72;0.37;81.0;10.0;Schweinfurt
DE075C;59282.0;21.0;175.0;109.6;39.2;2.0;5.0;55.0;373.33;0.34;98.0;10.0;Greifswald
DE076C;53188.0;36.0;34.0;106.3;45.6;2.0;7.0;38.0;520.42;0.38;83.0;10.0;Wetzlar
DE077C;50741.0;40.0;6.0;105.6;47.6;2.0;5.0;35.0;507.78;0.0;85.0;9.0;Speyer
DE078C;52415.0;35.0;226.0;105.7;41.4;2.0;4.0;55.0;447.97;0.0;83.0;8.0;Passau
DE079C;79354.0;26.0;21.0;106.0;53.8;2.0;5.0;59.0;479.96;0.25;94.0;7.0;Dessau-Roßlau
DE080C;495885.0;18.0;34.0;102.2;44.2;2.0;7.0;46.0;427.26;0.12;79.0;10.0;Duisburg
DE081C;309721.0;36.0;91.0;100.8;40.8;2.0;6.0;52.0;399.59;0.26;76.0;10.0;Mannheim
DE082C;259105.0;17.0;22.0;101.2;44.7;2.0;9.0;48.0;431.18;0.19;79.0;11.0;Gelsenkirchen
DE083C;316403.0;45.0;197.0;108.1;38.4;2.0;3.0;51.0;391.94;0.03;89.0;10.0;Münster
DE084C;244401.0;34.0;40.0;102.1;48.2;2.0;5.0;48.0;442.44;0.12;91.0;8.0;Chemnitz
DE085C;248561.0;43.0;75.0;101.7;43.0;2.0;4.0;54.0;439.28;0.2;89.0;10.0;Braunschweig
DE086C;248878.0;41.0;247.0;91.5;37.2;2.0;5.0;58.0;384.81;0.12;81.0;9.0;Aachen
DE087C;226844.0;28.0;24.0;104.9;46.5;2.0;7.0;47.0;468.58;0.09;83.0;9.0;Krefeld
DE088C;209566.0;20.0;0.0;103.8;46.7;2.0;7.0;43.0;489.91;0.05;85.0;9.0;Oberhausen
DE089C;215846.0;24.0;64.0;108.3;46.4;2.0;5.0;52.0;406.91;0.05;89.0;8.0;Lübeck
DE090C;188687.0;22.0;19.0;104.6;46.3;2.0;7.0;43.0;478.05;0.11;81.0;11.0;Hagen
DE091C;201048.0;35.0;161.0;103.3;41.0;2.0;6.0;52.0;382.77;0.05;81.0;10.0;Kassel
DE092C;178967.0;19.0;21.0;103.2;44.7;2.0;6.0;35.0;499.66;0.17;84.0;9.0;Hamm
DE093C;156940.0;24.0;1.0;103.7;46.2;2.0;7.0;44.0;461.14;0.06;82.0;9.0;Herne
DE094C;159193.0;21.0;0.0;106.0;46.6;2.0;5.0;43.0;515.96;0.19;83.0;10.0;Solingen
DE095C;164223.0;36.0;152.0;106.6;39.9;2.0;5.0;52.0;437.14;0.18;87.0;11.0;Osnabrück
DE096C;172557.0;25.0;28.0;99.1;42.0;2.0;7.0;48.0;422.67;0.12;73.0;11.0;Ludwigshafen am Rhein
DE097C;163905.0;27.0;5.0;105.3;46.2;2.0;5.0;43.0;483.22;0.12;84.0;10.0;Leverkusen
DE098C;169605.0;40.0;103.0;108.5;41.9;2.0;5.0;49.0;457.22;0.12;90.0;10.0;Oldenburg (Oldenburg)
DE099C;153109.0;31.0;6.0;106.3;44.9;2.0;5.0;38.0;481.84;0.45;85.0;11.0;Neuss
DE100C;158741.0;50.0;224.0;108.1;36.5;2.0;4.0;56.0;309.16;0.06;80.0;10.0;Heidelberg
DE101C;151864.0;32.0;137.0;100.5;40.3;2.0;5.0;42.0;482.88;0.26;88.0;11.0;Paderborn
DE102C;126954.0;41.0;265.0;109.1;38.8;2.0;3.0;58.0;413.13;0.16;88.0;11.0;Würzburg
DE103C;110705.0;25.0;18.0;105.9;46.7;2.0;6.0;41.0;542.86;0.0;87.0;9.0;Recklinghausen
DE104C;123840.0;36.0;22.0;100.9;44.8;2.0;4.0;47.0;444.57;0.16;84.0;10.0;Wolfsburg
DE105C;113557.0;14.0;25.0;100.8;44.7;2.0;8.0;50.0;396.6;0.35;81.0;10.0;Bremerhaven
DE106C;117388.0;27.0;13.0;105.5;47.9;2.0;5.0;44.0;545.73;0.26;89.0;9.0;Bottrop
DE107C;126458.0;26.0;70.0;98.3;41.7;2.0;5.0;44.0;459.05;0.16;74.0;11.0;Heilbronn
DE108C;111516.0;20.0;0.0;102.2;47.1;2.0;5.0;43.0;495.55;0.0;81.0;9.0;Remscheid
DE109C;130892.0;31.0;6.0;101.2;39.7;2.0;8.0;49.0;364.84;0.23;63.0;12.0;Offenbach am Main
DE110C;126405.0;50.0;109.0;101.5;39.8;2.0;4.0;46.0;426.44;0.08;80.0;11.0;Ulm
DE111C;126016.0;28.0;46.0;103.0;42.1;2.0;6.0;47.0;426.79;0.32;73.0;12.0;Pforzheim
DE112C;136952.0;43.0;52.0;97.9;40.9;2.0;3.0;43.0;462.06;0.36;81.0;12.0;Ingolstadt
DE113C;92126.0;26.0;26.0;107.1;52.5;2.0;7.0;42.0;446.32;0.21;93.0;7.0;Gera
DE114C;103866.0;23.0;20.0;101.3;45.8;2.0;7.0;44.0;501.61;0.38;82.0;11.0;Salzgitter
DE115C;116031.0;35.0;47.0;102.5;44.0;2.0;4.0;43.0;501.62;0.0;81.0;10.0;Reutlingen
DE116C;128223.0;24.0;3.0;104.1;43.1;2.0;4.0;45.0;440.42;0.08;80.0;11.0;Fürth
DE117C;98693.0;33.0;59.0;104.1;48.9;2.0;5.0;46.0;435.89;0.3;91.0;9.0;Cottbus
DE118C;101943.0;34.0;181.0;103.7;44.4;2.0;5.0;47.0;504.1;0.1;86.0;10.0;Siegen
DE119C;111636.0;37.0;6.0;108.8;47.7;2.0;4.0;32.0;533.47;0.18;89.0;8.0;Bergisch Gladbach
DE120C;101055.0;30.0;118.0;109.2;45.1;2.0;6.0;51.0;440.3;0.0;91.0;9.0;Hildesheim
DE121C;95876.0;34.0;30.0;105.4;47.2;2.0;5.0;46.0;521.3;0.0;88.0;9.0;Witten
DE122C;87516.0;27.0;33.0;105.5;50.0;2.0;4.0;48.0;482.49;0.23;98.0;9.0;Zwickau
DE123C;112385.0;59.0;249.0;100.9;38.7;2.0;3.0;49.0;432.55;0.09;81.0;10.0;Erlangen
DE124C;355004.0;27.0;66.0;103.8;44.4;2.0;6.0;43.0;434.03;0.11;80.0;10.0;Wuppertal
DE125C;110731.0;46.0;198.0;100.0;39.1;2.0;4.0;50.0;356.26;0.27;90.0;10.0;Jena
DE126C;91272.0;21.0;34.0;102.2;46.0;2.0;7.0;40.0;468.35;0.33;83.0;11.0;Düren, Stadt
DE127C;71061.0;20.0;23.0;103.8;46.0;2.0;3.0;40.0;520.61;0.56;91.0;10.0;Bocholt, Stadt
DK001C;559440.0;33.0;44.0;101.6;36.0;2.0;4.0;39.0;350.75;0.68;94.0;12.0;København
DK002C;319094.0;42.0;111.0;104.2;37.5;2.0;5.0;40.0;289.56;0.68;94.0;14.0;Århus
DK003C;193370.0;33.0;78.0;105.0;39.2;2.0;5.0;40.0;313.1;0.68;94.0;13.0;Odense
DK004C;203448.0;34.0;78.0;101.8;39.7;2.0;6.0;41.0;322.19;0.68;96.0;12.0;Aalborg
EE001C;438341.0;50.0;54.0;119.5;40.0;2.0;6.0;45.0;331.76;0.09;78.0;10.0;Tallinn
EE002C;95430.0;48.0;174.0;121.5;39.0;2.0;4.0;44.0;379.49;0.31;91.0;11.0;Tartu
EE003C;53424.0;35.0;11.0;123.0;49.0;2.0;16.0;42.0;387.39;0.19;49.0;6.0;Narva
EL001C;2622404.0;26.0;32.0;104.0;41.0;3.0;19.0;26.0;479.21;1.05;92.0;10.0;Hellas/Greece
EL002C;315196.0;33.0;131.0;114.0;42.0;2.0;11.0;28.0;479.21;0.62;93.0;10.0;Thessaloniki
EL003C;170896.0;24.0;45.0;102.9;37.0;3.0;16.0;22.0;479.21;0.87;94.0;11.0;Pátra
EL004C;151324.0;26.0;59.0;102.6;36.0;3.0;11.0;22.0;479.21;1.41;96.0;14.0;Irakleio
EL005C;146926.0;27.0;70.0;104.8;38.0;3.0;11.0;17.0;479.21;1.81;96.0;12.0;Larisa
EL006C;86046.0;26.0;28.0;108.1;41.0;3.0;12.0;22.0;479.21;1.18;96.0;10.0;Volos
EL007C;80371.0;33.0;93.0;110.6;38.0;3.0;13.0;24.0;479.21;0.79;94.0;11.0;Ioannina
EL008C;58790.0;23.0;69.0;108.6;43.0;3.0;12.0;21.0;479.21;0.94;95.0;10.0;Kavala
EL009C;62409.0;20.0;53.0;103.8;40.0;3.0;12.0;19.0;479.21;1.3;95.0;11.0;Kalamata
ES001C;5098717.0;48.0;67.0;111.4;43.4;3.0;13.0;27.0;430.74;0.14;86.0;8.0;Madrid
